X,Y,abandono_6meses
10.388051,11.501283,0
11.7422905,-10.765031,1
0.21462208,-11.273888,0
-4.286679,1.2879403,1
-4.293615,1.2810514,0
-1.343153,6.029048,1
-0.20971258,18.724398,1
14.930234,11.527333,0
14.940261,11.563268,0
3.9165235,-2.4816396,0
4.135205,-16.084576,1
-11.152339,7.7099915,1
11.392037,-8.348649,0
3.912744,-2.48438,0
0.5482824,-6.4234295,0
-1.520885,14.394523,1
16.82611,8.319231,1
16.859766,-7.8007874,0
11.233912,22.347408,1
-6.182453,-11.965076,0
4.424208,6.0138545,0
-0.28542933,9.766303,0
-0.85639215,-8.145116,1
-13.175945,0.45721456,0
-8.823534,10.313408,0
10.212723,-13.119343,0
-2.6426215,7.230182,0
0.39168474,17.021889,0
8.847554,0.3675929,0
-0.8679472,-12.883344,1
4.802808,12.015441,0
8.50123,14.829346,0
22.377153,-11.633445,1
-8.823779,10.313198,0
11.239579,22.353174,0
15.212809,-17.36012,1
10.095885,10.100293,0
-5.6140914,-7.357758,0
-2.335755,10.590343,0
16.849749,-7.7940965,0
16.999098,3.7165854,0
7.092584,3.349798,1
1.814646,-7.3833365,0
4.1321497,6.000137,0
0.3911463,17.022955,0
2.096066,-20.477425,0
15.222852,-17.370161,0
-12.748369,11.273994,1
0.5559442,-6.4274154,0
-11.170396,7.689504,0
16.797554,8.348145,1
-2.3191562,-16.747568,0
-8.135733,-5.549617,0
-6.184208,-11.965562,1
-14.3099,4.604662,1
16.727943,-5.3099604,0
1.9077314,-2.7214477,0
-14.310623,4.605278,0
-0.85201144,-12.899346,0
4.8067107,12.01122,0
8.454127,14.782116,0
-5.116463,11.829836,1
16.825663,8.319385,0
8.46373,-4.634447,0
10.23771,-13.103144,0
-8.823792,10.313329,0
12.606785,18.455698,0
10.064464,10.102459,0
8.471317,-4.629521,0
8.487465,-4.611984,0
15.208298,-17.355522,0
18.721708,6.021644,1
-2.3472302,10.601559,1
9.619101,-2.3538773,0
8.044453,-8.269655,0
-4.7525077,8.223207,1
-7.8283896,17.79556,0
4.1782403,6.0071836,0
23.267313,12.869356,0
1.1163495,10.247301,0
15.21159,-17.358873,1
-5.128157,11.841165,0
22.372107,-11.628387,0
8.830531,0.43463713,1
0.7318809,-9.251923,0
0.73518366,-3.2502499,0
20.454748,-3.150003,0
10.084184,10.090405,0
-14.3003435,4.595221,0
-6.8182936,3.056925,1
5.1371427,2.776429,1
-8.093755,-5.5918007,0
16.815668,8.327305,0
8.471358,-4.610538,0
6.796277,3.057712,1
10.228059,-13.117644,1
4.1714225,-5.1396356,0
13.087403,1.6272025,1
16.81855,-7.762255,0
7.438328,21.813126,0
15.397581,-1.4975781,0
15.201185,-17.349375,1
1.8609457,-7.336491,0
-4.0987372,-12.274623,1
-11.434709,-11.535327,0
-4.5151873,-2.4650342,1
8.038265,-8.263232,1
