ID,abandono_6meses
100486,1
103752,1
103937,0
101744,1
101037,1
103465,1
103718,1
103206,1
102932,1
103179,0
101424,1
103534,0
101680,1
100332,1
103739,1
100086,0
101520,1
101657,1
101410,1
101277,1
101655,1
101753,1
101737,1
101275,1
100408,1
100158,1
100729,1
100851,1
101000,0
101409,0
101824,1
101259,1
100736,1
101903,0
100171,1
101949,0
101371,0
100451,1
101952,0
101721,0
102802,0
103824,1
104042,0
103566,0
104031,1
103381,1
103594,1
103053,1
102297,0
103210,0
103521,1
104099,1
103121,1
103168,0
102526,0
103712,0
102670,0
103556,0
102817,1
102391,0
104145,1
102944,1
103705,0
102682,0
103690,1
104076,1
104094,1
103592,0
102681,0
104049,1
102598,0
104082,1
103544,1
102954,0
101362,0
100255,1
100647,1
101953,0
101339,1
101826,1
100415,0
101170,0
100850,0
101984,0
100419,1
100062,0
100800,0
100353,0
101200,0
101397,0
101820,0
100079,0
100650,0
100634,0
101026,1
101908,0
101472,1
100757,1
100251,0
101474,0
101588,0
101745,1
100847,0
100549,0
101868,0
102121,1
104154,0
102865,1
102313,0
103025,0
103717,0
103229,0
104002,0
103635,1
103688,0
103734,1
103871,0
102712,0
103495,0
103942,0
103213,0
102374,0
102520,0
103779,0
102300,0
102287,0
102535,1
103986,0
100100,1
101631,0
101989,0
101232,0
102438,1
102291,1
100643,1
100287,0
101786,0
100382,1
102650,1
102588,0
103283,0
100737,0
102373,0
102224,1
102565,0
103614,1
101875,1
101457,1
101635,0
101815,0
102666,0
101372,0
101158,0
100858,0
104156,0
103917,0
101400,0
101441,1
100233,0
100830,1
101511,0
100996,0
100054,0
102474,1
103253,0
103539,0
103019,0
100081,0
100165,0
100652,1
101503,0
103069,0
103036,0
102483,0
103847,0
102581,1
100990,0
100836,1
100844,0
103749,0
104151,0
102906,0
102826,0
103140,0
102586,0
100484,1
100700,0
101747,1
101623,0
101803,1
101975,0
102978,0
103281,0
103523,0
102328,0
102707,0
103420,0
104018,0
103170,0
100032,1
101139,0
101886,0
102133,0
101449,0
100172,0
100201,0
103251,1
103965,0
103729,1
103295,1
103394,0
103738,1
102980,0
102773,0
102733,0
103845,0
103864,0
104058,0
101544,0
100945,0
100446,1
101534,0
101998,0
101028,0
101124,0
100936,0
102493,1
102936,1
102963,1
103952,0
103559,1
102632,0
103217,0
102543,1
103532,0
102734,1
103359,0
101113,1
101011,1
101012,1
101914,0
101798,1
100159,0
100124,0
100943,0
101187,0
101881,0
103227,1
103772,0
103627,1
102334,0
102955,1
102991,0
103435,1
100821,0
100722,0
101814,0
100924,0
103157,0
103216,1
100559,1
103294,0
101591,0
100607,0
100225,0
100709,1
102396,0
102758,1
100816,0
103280,0
102253,0
104090,0
101957,0
100450,1
102992,0
101669,0
102730,0
103611,0
103570,0
102638,0
103888,0
102999,0
101983,1
101967,0
100301,1
102836,0
103248,0
102510,0
104077,1
100793,1
100035,1
100367,1
100991,1
101966,0
104147,0
103698,1
103741,1
103340,1
100033,0
103388,0
103296,1
101446,0
100808,0
101394,1
100641,1
100529,0
101272,0
102788,0
102858,0
100907,1
100598,1
101842,0
103261,0
103859,1
103768,0
102846,1
103836,1
102330,0
101801,0
101765,0
103517,0
103761,0
100949,0
102104,0
100375,0
103520,1
102205,0
102956,0
102910,0
101546,1
103707,0
103953,0
103374,0
101055,1
101297,0
101396,0
100819,0
101819,1
101096,0
103582,0
103928,0
102883,1
103608,1
100494,0
100128,0
100676,0
100708,1
101125,1
102541,1
103546,0
103844,0
103603,0
102897,0
103313,0
103745,1
103347,0
103969,1
102528,0
103721,0
101888,0
102619,1
103861,0
102499,1
103192,0
101726,0
102834,1
103547,1
103398,0
101473,1
103232,0
102243,0
103480,0
101102,0
101702,1
102931,0
101864,0
102995,0
102199,1
100637,0
101129,0
100053,1
101666,0
101466,1
100480,0
103092,0
102281,1
103264,1
102559,0
103645,0
103114,1
103628,0
102425,0
100071,0
101207,0
101046,0
101304,1
100492,0
101352,0
100003,0
101960,0
101210,1
100405,1
100057,0
103369,0
102587,0
103126,0
102569,0
102854,0
102434,0
103878,1
104053,1
102765,0
102318,0
100085,0
100187,0
101013,1
100638,0
101611,1
100655,0
102051,1
101357,0
103095,1
103277,1
103590,0
103029,0
103052,0
102314,0
102757,0
104085,0
101276,0
100503,0
101724,1
100092,0
100784,0
100330,0
101863,0
101197,0
100448,1
100501,0
103545,0
103113,0
102845,0
103034,1
102229,0
102985,1
103119,1
103801,1
100351,0
101010,0
100197,1
102772,0
102401,0
103267,0
103704,0
101315,0
100050,1
101448,1
101958,0
101385,0
101201,0
100308,0
100265,0
101354,0
101997,0
102111,1
101081,1
102789,1
102891,0
102671,0
103376,0
102971,0
103439,0
103580,0
102320,0
103834,1
101874,0
101565,0
100270,1
100474,0
100210,0
100278,1
100515,0
103879,0
103010,0
102390,0
102786,0
104029,0
101568,0
101242,1
101370,1
102125,0
100933,0
100221,1
101832,0
102430,0
103322,0
103885,0
102455,0
102361,0
103841,1
103817,1
101791,0
101350,0
100498,0
100216,1
101613,1
100760,0
101287,0
100766,1
100758,0
101407,1
103482,0
102722,0
102614,0
103265,1
103410,1
103188,0
102853,0
103455,0
103872,0
102916,0
101711,0
101003,0
101716,0
101118,0
102498,1
103432,1
102609,1
102266,1
102521,0
100521,0
100748,0
104001,0
103266,0
101681,0
103686,0
100058,1
101741,0
102105,0
101005,0
104168,0
103468,1
103080,0
103764,0
101383,0
102293,1
101313,0
101859,0
101361,1
100051,1
102467,0
102690,0
102547,1
100934,0
101885,0
100162,0
102198,1
102784,0
104112,0
103509,0
103792,0
103293,1
102305,0
100893,0
100900,0
103511,0
103271,0
103691,0
100376,0
102669,0
100181,0
102484,0
104166,0
103990,0
102466,0
102578,0
103702,0
103578,0
100519,0
102706,0
101020,1
101947,0
102882,1
101934,1
101910,0
103808,0
102710,0
100531,0
100754,0
102860,0
101425,0
101586,0
101700,0
101994,0
100968,1
100166,0
100443,0
101056,1
100588,0
102076,0
104055,0
104033,0
102855,0
103440,0
103424,0
103689,0
102893,0
103956,1
104012,0
103924,0
102905,0
103793,1
101901,1
101660,0
101018,1
103254,0
102869,1
100978,0
101746,0
100318,0
101237,1
100191,1
103667,0
102525,0
102899,0
103101,0
100721,0
101730,0
101100,0
100156,0
100834,0
103767,1
102317,0
103890,0
103923,0
100047,0
101652,1
100889,0
102115,0
102959,0
103470,1
103200,0
100245,0
103275,1
103902,0
100133,0
101323,0
101263,0
101715,0
102996,0
102560,0
100719,1
100135,0
100860,0
100236,0
100473,0
101834,0
100547,0
100703,1
101915,0
100826,0
100583,0
100461,1
100336,0
100691,0
101559,0
100866,0
101521,0
100657,0
101542,0
100410,0
100601,0
101510,1
100957,0
100843,0
101843,0
100822,0
101713,0
101728,1
100543,0
101825,1
100953,0
100982,0
100374,1
100904,0
100456,0
101447,0
101291,0
101179,0
101072,0
101494,0
101877,0
101985,0
100298,0
100627,0
100271,1
100453,1
101948,0
101206,1
101471,0
101810,1
101312,1
100014,0
101128,0
101455,0
101614,1
100000,0
100345,0
100985,0
101905,0
101381,0
100380,0
100358,0
101403,1
101579,0
100776,1
101427,1
101074,0
101727,0
101423,0
100523,0
100541,0
101413,0
100563,0
101508,0
100214,0
100147,0
100554,0
102448,0
104142,0
103918,0
103957,0
103141,0
102676,0
102835,0
102873,0
104025,1
102580,0
104143,1
102469,0
102406,1
102686,0
102444,0
102404,0
103462,1
102557,0
102947,0
103703,1
102843,0
103070,0
103129,1
103155,0
102214,0
103936,0
102760,0
103288,0
103427,0
102494,0
104063,0
102271,0
102577,0
103441,0
103128,0
103413,0
103661,0
102887,1
102830,1
103062,0
104043,0
102840,0
104120,0
103785,1
102618,0
102642,0
102475,0
102735,0
102322,1
103488,0
102452,0
103240,1
102250,0
102460,0
103041,0
102246,0
102800,0
103004,0
103162,0
103214,0
103428,1
102919,1
102622,0
103586,0
103049,1
103819,0
103714,0
102319,0
100015,0
101920,1
100226,0
100770,0
100995,0
100785,1
100478,0
100371,0
101768,0
101734,1
100116,0
100356,0
100678,0
101337,0
101221,0
101464,0
101108,0
101618,0
101796,0
101996,0
100460,0
102143,0
100606,0
102139,0
100528,0
100196,0
100875,0
100125,0
100552,0
100778,0
100435,0
101429,0
101596,0
101619,0
100020,0
100871,0
100339,0
100211,0
101303,0
100886,0
100202,0
100972,1
101438,0
101190,0
101963,0
101833,0
102094,0
100095,0
100813,0
100104,0
102012,0
100987,0
100692,0
101256,0
102020,1
100768,0
101580,0
101433,0
102075,0
102142,0
101296,0
100347,0
101340,0
101398,0
101141,1
101364,0
102149,0
101233,1
100828,0
100919,0
101115,1
100920,1
101887,1
100421,0
100249,0
101841,0
101851,0
100704,0
102153,0
101288,0
100073,0
101369,0
101748,0
100739,0
101592,0
101135,0
102098,0
101662,0
101972,0
102147,0
101341,0
100310,0
100455,0
101704,0
102117,0
100938,0
100317,1
