ID,abandono_6meses
100486,1
103752,0
103937,1
101744,1
101037,0
103465,1
103718,1
103206,0
102932,0
103179,0
101424,1
103534,1
101680,1
100332,1
103739,0
100086,1
101520,0
101657,0
101410,0
101277,0
101655,0
101753,1
101737,1
101275,0
100408,1
100158,0
100729,0
100851,1
101000,0
101409,1
101824,0
101259,1
100736,0
101903,1
100171,1
101949,1
101371,0
100451,1
101952,0
101721,1
102802,0
103824,1
104042,1
103566,1
104031,0
103381,0
103594,1
103053,0
102297,0
103210,0
103521,0
104099,1
103121,0
103168,1
102526,0
103712,0
102670,0
103556,1
102817,0
102391,1
104145,1
102944,0
103705,1
102682,0
103690,0
104076,1
104094,1
103592,1
102681,0
104049,1
102598,1
104082,0
103544,1
102954,0
101362,0
100255,1
100647,1
101953,0
101339,0
101826,1
100415,1
101170,1
100850,0
101984,1
100419,1
100062,1
100800,0
100353,1
101200,0
101397,0
101820,0
100079,0
100650,0
100634,0
101026,0
101908,0
101472,0
100757,1
100251,0
101474,1
101588,0
101745,1
100847,1
100549,1
101868,0
102121,1
104154,1
102865,0
102313,0
103025,0
103717,1
103229,1
104002,1
103635,1
103688,0
103734,0
103871,1
102712,0
103495,0
103942,0
103213,1
102374,0
102520,0
103779,1
102300,0
102287,0
102535,0
103986,1
100100,1
101631,1
101989,0
101232,0
102438,1
102291,0
100643,0
100287,1
101786,0
100382,0
102650,0
102588,0
103283,0
100737,0
102373,0
102224,0
102565,0
103614,0
101875,1
101457,0
101635,0
101815,0
102666,0
101372,0
101158,0
100858,0
104156,1
103917,1
101400,0
101441,1
100233,1
100830,0
101511,0
100996,1
100054,0
102474,0
103253,0
103539,0
103019,1
100081,0
100165,0
100652,0
101503,0
103069,1
103036,0
102483,0
103847,0
102581,0
100990,1
100836,0
100844,0
103749,0
104151,1
102906,0
102826,0
103140,1
102586,0
100484,0
100700,0
101747,0
101623,1
101803,0
101975,0
102978,0
103281,0
103523,1
102328,1
102707,0
103420,0
104018,1
103170,0
100032,1
101139,0
101886,1
102133,1
101449,0
100172,1
100201,1
103251,0
103965,1
103729,0
103295,0
103394,1
103738,1
102980,0
102773,0
102733,0
103845,1
103864,0
104058,1
101544,0
100945,0
100446,1
101534,0
101998,0
101028,1
101124,0
100936,1
102493,0
102936,0
102963,0
103952,1
103559,0
102632,0
103217,0
102543,0
103532,1
102734,1
103359,0
101113,0
101011,1
101012,0
101914,0
101798,0
100159,1
100124,0
100943,0
101187,1
101881,0
103227,0
103772,1
103627,0
102334,0
102955,0
102991,0
103435,1
100821,1
100722,1
101814,1
100924,0
103157,0
103216,1
100559,1
103294,1
101591,0
100607,1
100225,1
100709,0
102396,0
102758,0
100816,1
103280,0
102253,0
104090,0
101957,0
100450,1
102992,1
101669,1
102730,0
103611,0
103570,0
102638,0
103888,1
102999,1
101983,0
101967,0
100301,1
102836,1
103248,0
102510,1
104077,1
100793,0
100035,1
100367,1
100991,0
101966,1
104147,0
103698,1
103741,0
103340,1
100033,0
103388,0
103296,0
101446,0
100808,0
101394,1
100641,0
100529,1
101272,1
102788,0
102858,0
100907,0
100598,0
101842,0
103261,0
103859,0
103768,0
102846,0
103836,0
102330,0
101801,1
101765,0
103517,1
103761,1
100949,1
102104,1
100375,0
103520,0
102205,0
102956,0
102910,1
101546,1
103707,0
103953,1
103374,0
101055,0
101297,0
101396,0
100819,0
101819,1
101096,1
103582,1
103928,1
102883,0
103608,1
100494,0
100128,1
100676,1
100708,0
101125,0
102541,0
103546,1
103844,0
103603,0
102897,0
103313,1
103745,1
103347,0
103969,1
102528,0
103721,1
101888,0
102619,0
103861,1
102499,0
