ID,abandono_6meses
100486,1
103752,0
103937,1
101744,1
101037,0
103465,1
103718,1
103206,0
102932,0
103179,0
101424,1
103534,1
101680,1
100332,1
103739,0
100086,0
101520,0
101657,0
101410,0
101277,0
101655,1
101753,1
101737,0
101275,1
100408,1
100158,0
100729,0
100851,1
101000,0
101409,0
101824,1
101259,1
100736,0
101903,1
100171,0
101949,1
101371,0
100451,1
101952,1
101721,1
102802,0
103824,1
104042,1
103566,1
104031,1
103381,0
103594,1
103053,0
102297,0
103210,0
103521,0
104099,1
103121,0
103168,1
102526,1
103712,0
102670,1
103556,1
102817,1
102391,0
104145,1
102944,0
103705,1
102682,0
103690,0
104076,1
104094,1
103592,1
102681,0
104049,1
102598,1
104082,1
103544,1
102954,0
101362,0
100255,1
100647,1
101953,0
101339,0
101826,0
100415,1
101170,1
100850,0
101984,1
100419,1
100062,1
100800,1
100353,1
101200,0
101397,1
101820,0
100079,1
100650,0
100634,0
101026,0
101908,1
101472,0
100757,0
100251,0
101474,1
101588,0
101745,1
100847,0
100549,1
101868,0
102121,1
104154,1
102865,0
102313,0
103025,1
103717,1
103229,1
104002,1
103635,1
103688,0
103734,0
103871,0
102712,1
103495,0
103942,0
103213,0
102374,0
102520,0
103779,1
102300,0
102287,0
102535,0
103986,1
100100,1
101631,1
101989,0
101232,0
102438,0
102291,0
100643,0
100287,1
101786,0
100382,0
102650,0
102588,0
103283,0
100737,1
102373,0
102224,0
102565,0
103614,0
101875,1
101457,0
101635,0
101815,0
102666,0
101372,0
101158,0
100858,1
104156,1
103917,1
101400,0
101441,1
100233,1
100830,0
101511,1
100996,0
100054,0
102474,0
103253,0
103539,0
103019,1
100081,0
100165,1
100652,0
101503,0
103069,1
103036,1
102483,0
103847,1
102581,0
100990,1
100836,0
100844,1
103749,1
104151,1
102906,0
102826,1
103140,0
102586,0
100484,1
100700,0
101747,0
101623,0
101803,1
101975,0
102978,0
103281,0
103523,1
102328,0
102707,0
103420,0
104018,1
103170,0
100032,1
101139,0
101886,1
102133,0
101449,0
100172,1
100201,1
103251,1
103965,1
103729,1
103295,1
103394,1
103738,1
102980,1
102773,0
102733,0
103845,1
103864,0
104058,0
101544,0
100945,1
100446,1
101534,0
101998,1
101028,1
101124,1
100936,1
102493,1
102936,0
102963,0
103952,1
103559,1
102632,1
103217,0
102543,0
103532,1
102734,1
103359,1
101113,1
101011,1
101012,0
101914,0
101798,0
100159,0
100124,1
100943,0
101187,1
101881,0
103227,1
103772,1
103627,0
102334,0
102955,0
102991,1
103435,1
100821,1
100722,0
101814,1
100924,0
103157,0
103216,0
100559,1
103294,1
101591,0
100607,1
100225,0
100709,0
102396,0
102758,0
100816,0
103280,0
102253,0
104090,1
101957,1
100450,0
102992,1
101669,0
102730,0
103611,0
103570,0
102638,0
103888,1
102999,0
101983,0
101967,0
100301,0
102836,1
103248,1
102510,1
104077,1
100793,1
100035,1
100367,1
100991,0
101966,1
104147,1
103698,1
103741,0
103340,1
100033,0
103388,0
103296,0
101446,0
100808,0
101394,1
100641,0
100529,1
101272,1
102788,0
102858,0
100907,0
100598,0
101842,0
103261,0
103859,0
103768,1
102846,0
103836,1
102330,0
101801,0
101765,0
103517,1
103761,1
100949,0
102104,1
100375,0
103520,1
102205,0
102956,0
102910,0
101546,1
103707,1
103953,1
103374,0
101055,1
101297,0
101396,1
100819,0
101819,0
101096,1
103582,1
103928,1
102883,1
103608,1
100494,1
100128,1
100676,1
100708,1
101125,1
102541,1
103546,1
103844,1
103603,0
102897,0
103313,1
103745,1
103347,1
103969,1
102528,0
103721,1
101888,0
102619,1
103861,1
102499,0
