ID,abandono_6meses
100486,0
103752,0
103937,1
101744,1
101037,0
103465,1
103718,0
103206,0
102932,0
103179,0
101424,0
103534,0
101680,0
100332,1
103739,0
100086,0
101520,0
101657,0
101410,0
101277,1
101655,0
101753,1
101737,0
101275,0
100408,0
100158,1
100729,1
100851,1
101000,0
101409,1
101824,0
101259,1
100736,0
101903,0
100171,1
101949,0
101371,1
100451,1
101952,0
101721,0
102802,0
103824,1
104042,0
103566,0
104031,1
103381,0
103594,1
103053,0
102297,0
103210,0
103521,0
104099,1
103121,0
103168,0
102526,1
103712,1
102670,0
103556,1
102817,0
102391,1
104145,1
102944,1
103705,0
102682,0
103690,0
104076,0
104094,0
103592,0
102681,0
104049,0
102598,0
104082,0
103544,0
102954,0
101362,0
100255,1
100647,0
101953,1
101339,0
101826,0
100415,1
101170,1
100850,0
101984,0
100419,1
100062,0
100800,1
100353,0
101200,0
101397,0
101820,0
100079,0
100650,0
100634,1
101026,0
101908,0
101472,0
100757,0
100251,0
101474,0
101588,0
101745,0
100847,0
100549,1
101868,0
102121,0
104154,1
102865,0
102313,1
103025,0
103717,0
103229,0
104002,0
103635,1
103688,0
103734,0
103871,1
102712,0
103495,1
103942,0
103213,0
102374,0
102520,0
103779,1
102300,0
102287,1
102535,0
103986,1
100100,1
101631,1
101989,0
101232,0
102438,0
102291,0
100643,1
100287,0
101786,0
100382,0
102650,1
102588,1
103283,0
100737,1
102373,0
102224,0
102565,0
103614,0
101875,1
101457,0
101635,0
101815,1
102666,1
101372,0
101158,0
100858,1
104156,1
103917,0
101400,0
101441,1
100233,1
100830,0
101511,0
100996,0
100054,0
102474,0
103253,0
103539,0
103019,0
100081,0
100165,1
100652,0
101503,1
103069,0
103036,0
102483,1
103847,0
102581,0
100990,0
100836,0
100844,0
103749,0
104151,0
102906,0
102826,0
103140,1
102586,0
100484,0
100700,0
101747,0
101623,1
101803,1
101975,0
102978,0
103281,0
103523,0
102328,0
102707,0
103420,1
104018,0
103170,1
100032,0
101139,1
101886,0
102133,1
101449,0
100172,1
100201,1
103251,0
103965,1
103729,0
103295,1
103394,1
103738,0
102980,0
102773,0
102733,1
103845,0
103864,0
104058,0
101544,1
100945,0
100446,0
101534,1
101998,0
101028,0
101124,1
100936,1
102493,1
102936,1
102963,0
103952,0
103559,0
102632,1
103217,0
102543,0
103532,1
102734,0
103359,0
101113,0
101011,1
101012,0
101914,0
101798,0
100159,0
100124,0
100943,0
101187,0
101881,0
103227,0
103772,1
103627,0
102334,1
102955,0
102991,1
103435,1
100821,1
100722,1
101814,1
100924,1
103157,1
103216,0
100559,1
103294,1
101591,1
100607,0
100225,1
100709,0
102396,1
102758,0
100816,1
103280,0
102253,1
104090,1
101957,0
100450,0
102992,1
101669,1
102730,0
103611,0
103570,0
102638,0
103888,0
102999,0
101983,0
101967,0
100301,1
102836,0
103248,1
102510,0
104077,1
100793,1
100035,1
100367,0
100991,0
101966,1
104147,1
103698,1
103741,1
103340,0
100033,0
103388,0
103296,1
101446,1
100808,0
101394,1
100641,0
100529,0
101272,1
102788,0
102858,0
100907,0
100598,0
101842,1
103261,0
103859,0
103768,0
102846,1
103836,0
102330,0
101801,1
101765,0
103517,1
103761,1
100949,0
102104,1
100375,1
103520,1
102205,0
102956,0
102910,1
101546,1
103707,0
103953,0
103374,0
101055,0
101297,0
101396,0
100819,0
101819,1
101096,1
103582,0
103928,0
102883,1
103608,0
100494,0
100128,0
100676,0
100708,1
101125,0
102541,0
103546,1
103844,0
103603,1
102897,0
103313,0
103745,0
103347,1
103969,1
102528,1
103721,1
101888,1
102619,1
103861,0
102499,1
103192,0
101726,1
102834,0
103547,1
103398,1
101473,0
103232,0
102243,1
103480,0
101102,0
101702,0
102931,0
101864,1
102995,0
102199,0
100637,1
101129,1
100053,1
101666,0
101466,1
100480,0
103092,0
102281,1
103264,1
102559,0
103645,1
103114,0
103628,0
102425,0
100071,1
101207,0
101046,1
101304,0
100492,0
101352,0
100003,1
101960,0
101210,1
100405,1
100057,1
103369,1
102587,1
103126,1
102569,0
102854,0
102434,1
103878,0
104053,0
102765,0
102318,0
100085,0
100187,0
101013,0
100638,1
101611,0
100655,0
102051,0
101357,0
103095,1
103277,0
103590,0
103029,0
103052,0
102314,1
102757,0
104085,1
101276,0
100503,1
101724,1
100092,0
100784,0
100330,1
101863,1
101197,0
100448,1
100501,1
103545,0
103113,1
102845,1
103034,0
102229,0
102985,0
103119,0
103801,1
100351,0
101010,1
100197,0
102772,0
102401,0
103267,0
103704,1
101315,0
100050,1
101448,0
101958,1
101385,0
101201,0
100308,0
100265,0
101354,1
101997,0
102111,1
101081,1
102789,0
102891,0
102671,0
103376,0
102971,1
103439,1
103580,1
102320,1
103834,1
101874,0
101565,0
100270,0
100474,0
100210,1
100278,1
100515,0
103879,1
103010,1
102390,1
102786,0
104029,0
101568,0
101242,1
101370,1
102125,1
100933,1
100221,1
101832,1
102430,1
103322,1
103885,0
102455,1
102361,0
103841,0
103817,0
101791,0
101350,0
100498,0
100216,1
101613,0
100760,0
101287,0
100766,1
100758,1
101407,0
103482,1
102722,0
102614,0
103265,0
103410,0
103188,0
102853,0
103455,0
103872,0
102916,1
101711,1
101003,0
101716,0
101118,0
102498,0
103432,1
102609,0
102266,0
102521,0
100521,0
100748,1
104001,1
103266,1
101681,0
103686,0
100058,1
101741,1
102105,0
101005,1
104168,1
103468,1
103080,0
103764,1
101383,1
102293,0
101313,0
101859,0
101361,1
100051,0
102467,0
102690,0
102547,0
100934,1
101885,1
100162,0
102198,1
102784,0
104112,1
103509,1
103792,0
103293,1
102305,1
100893,0
100900,0
103511,1
103271,0
103691,0
100376,1
102669,0
100181,0
102484,1
104166,0
103990,0
102466,0
102578,0
103702,1
103578,0
100519,1
102706,0
101020,0
101947,0
102882,0
101934,0
101910,1
103808,1
102710,0
100531,1
100754,0
102860,0
101425,1
101586,1
101700,0
101994,0
100968,0
100166,0
100443,1
101056,1
100588,1
102076,0
104055,0
104033,1
102855,1
103440,1
103424,1
103689,0
102893,0
103956,1
104012,1
103924,1
102905,1
103793,1
101901,0
101660,0
101018,1
103254,0
102869,1
100978,0
101746,0
100318,0
101237,1
100191,0
103667,0
102525,1
102899,1
103101,0
100721,1
101730,0
101100,1
100156,0
100834,0
103767,0
102317,0
103890,1
103923,1
100047,1
101652,1
100889,0
102115,1
102959,1
103470,0
103200,1
100245,0
103275,0
103902,0
100133,1
101323,0
101263,1
101715,1
102996,1
102560,1
100719,1
100135,1
100860,0
100236,0
100473,1
101834,1
100547,0
100703,0
101915,0
100826,1
100583,0
100461,0
100336,0
100691,0
101559,1
100866,1
101521,0
100657,0
101542,1
100410,1
100601,0
101510,1
100957,0
100843,0
101843,0
100822,1
101713,0
101728,1
100543,0
101825,0
100953,1
100982,1
100374,1
100904,0
100456,0
101447,0
101291,1
101179,0
101072,0
101494,0
101877,1
101985,0
100298,1
100627,0
100271,0
100453,1
101948,0
101206,0
101471,0
101810,0
101312,0
100014,1
101128,1
101455,1
101614,0
100000,0
100345,1
100985,0
101905,0
101381,0
100380,1
100358,1
101403,1
101579,0
100776,0
101427,0
101074,0
101727,1
101423,0
100523,0
100541,0
101413,0
100563,0
101508,0
100214,0
100147,1
100554,0
102448,0
104142,0
103918,0
103957,0
103141,0
102676,0
102835,1
102873,1
104025,0
102580,0
104143,1
102469,1
102406,1
102686,0
102444,0
102404,0
103462,1
102557,0
102947,1
103703,1
102843,0
103070,0
103129,0
103155,0
102214,0
103936,1
102760,0
103288,0
103427,0
102494,1
104063,0
102271,0
102577,0
103441,0
103128,1
103413,0
103661,0
102887,0
102830,1
103062,0
104043,0
102840,0
104120,1
103785,0
102618,0
102642,0
102475,0
102735,0
102322,0
103488,1
102452,0
103240,0
102250,1
102460,0
103041,0
102246,1
102800,1
103004,1
103162,0
103214,0
103428,0
102919,0
102622,1
103586,1
103049,0
103819,0
103714,1
102319,1
100015,0
101920,0
100226,1
100770,1
100995,1
100785,0
100478,1
100371,1
101768,0
101734,0
100116,0
100356,0
100678,0
101337,1
101221,0
101464,1
101108,0
101618,0
101796,1
101996,0
100460,0
102143,1
100606,0
102139,1
100528,0
100196,0
100875,0
100125,0
100552,0
100778,1
100435,0
101429,1
101596,0
101619,1
100020,1
100871,0
100339,0
100211,0
101303,1
100886,0
100202,0
100972,1
101438,0
101190,1
101963,1
101833,0
102094,1
100095,1
100813,1
100104,0
102012,1
100987,0
100692,0
101256,1
102020,0
100768,0
101580,1
101433,1
102075,0
102142,1
101296,1
100347,0
101340,1
101398,0
101141,1
101364,0
102149,0
101233,1
100828,0
100919,0
101115,0
100920,0
101887,0
100421,1
100249,0
101841,1
101851,0
100704,0
102153,1
101288,1
100073,0
101369,1
101748,0
100739,1
101592,0
101135,1
102098,0
101662,0
101972,0
102147,1
101341,0
100310,0
100455,0
101704,0
102117,0
100938,0
100317,0
101918,1
101684,0
100818,0
101240,0
100632,0
102057,0
102574,1
104124,0
103068,0
103327,1
102806,1
103643,0
102617,1
103386,0
103519,0
102649,1
102766,0
102529,0
104006,0
103051,0
103508,0
102495,0
103762,0
102997,0
103657,0
102604,0
102193,1
102204,0
103225,0
102616,1
103412,0
102371,1
102454,0
103430,0
103401,1
103735,0
104066,1
103700,0
103150,1
103453,1
102409,1
103536,0
102938,0
102416,1
103061,0
102713,1
103934,0
103658,0
102538,0
103079,0
103335,0
103224,1
102257,0
102857,0
103181,1
102935,0
103930,0
104038,0
102216,0
104034,1
104129,0
102633,0
102940,0
103027,0
103490,0
102273,0
103581,1
102960,0
102264,0
103631,0
102380,0
102333,1
102269,0
103652,1
102961,1
103368,0
103024,0
104105,1
102462,0
103940,0
102277,0
102738,1
103345,0
103518,0
103766,0
103571,0
103541,0
103238,0
102797,0
103802,1
102600,0
103710,1
100445,0
101590,1
101787,0
100064,0
102719,1
102242,1
102721,1
102977,0
103112,1
102527,0
103948,1
103377,1
102907,1
102215,0
100277,1
100796,0
100775,1
100789,0
102571,0
102311,0
102433,0
103633,1
100319,0
101879,0
100635,0
102004,0
101861,0
102376,0
102866,0
102516,1
103306,1
104072,0
103073,0
102930,0
100817,0
100370,1
100282,0
101838,1
100765,1
100984,1
103249,0
103230,0
103972,0
103269,1
101999,1
100208,0
100155,0
100712,1
102465,1
103892,1
102270,0
104172,1
103654,0
103354,1
102451,1
101976,0
101651,1
100509,0
100801,0
100264,0
101086,1
100389,1
100802,1
101463,0
103127,0
103237,0
103447,1
103370,0
100786,0
101723,0
101075,1
100815,1
101911,0
100663,0
104009,1
103731,0
102176,0
103697,1
102335,0
102729,0
100105,1
102763,0
103044,1
100524,1
101543,1
100574,0
100090,0
101412,0
101600,0
101186,0
104159,1
104132,0
102696,1
103970,0
102562,0
103259,1
103117,0
103123,0
103290,1
101685,0
101329,1
101644,0
102017,1
101326,0
100517,0
100097,0
100395,0
101816,0
101311,1
102055,0
102948,0
103875,1
102613,0
103109,0
103191,1
103047,1
103773,0
102488,0
100489,0
100061,1
101830,1
101229,0
102126,1
100727,1
101487,0
101649,0
100036,1
100811,1
100039,1
101663,1
101811,0
102040,1
101164,1
101253,1
104068,1
103239,0
103554,0
102377,0
103527,0
102230,0
103298,0
102810,0
100772,1
101802,0
101283,0
101942,0
101763,1
100396,0
101042,1
100083,1
101519,0
101462,1
100418,0
100566,1
100536,1
100558,1
104046,0
104065,1
102362,0
103742,1
103409,0
104067,1
102395,0
103994,1
103574,0
103668,1
102228,0
102471,0
103194,1
103097,0
102767,1
103826,0
102603,0
101477,1
101530,0
100449,0
100068,1
101927,1
100905,1
101006,1
102148,1
101992,0
100044,0
102007,1
101399,0
102161,1
100025,0
100457,0
100260,0
101280,0
101331,0
101057,0
102001,0
102102,0
101779,0
102169,0
102656,0
102607,0
104039,0
103045,0
102184,0
103481,1
103884,1
102185,0
103852,0
102478,1
102974,0
102716,0
102388,0
102728,0
103400,1
102576,0
102658,0
100896,1
100883,1
100825,1
102052,1
101625,1
100447,0
101670,0
101895,1
101571,0
102151,0
100115,0
101198,0
102135,1
103612,1
104141,1
102820,0
102884,1
103161,0
102726,0
102644,0
104097,1
102630,0
102564,0
102965,0
102981,0
100780,0
100008,0
100764,1
100154,0
101384,0
100869,1
100975,0
100931,1
102130,1
101538,0
100333,0
100289,0
103569,0
104081,1
103842,1
102850,1
103638,1
102353,0
102491,0
102477,1
102689,1
102365,1
100404,1
101091,0
100881,1
102038,0
101085,1
102794,0
103330,0
102702,1
102657,0
101290,1
102082,1
102114,0
103622,0
104020,0
101376,0
100864,0
100653,1
102445,0
103026,0
104108,0
101390,0
102083,1
101566,1
103724,0
103302,0
102235,0
102553,0
103087,0
102248,0
103146,0
103360,0
102213,0
102443,0
100879,1
101021,1
100207,1
100571,0
101205,0
101677,0
100579,1
101279,0
101638,0
100111,1
102039,1
102036,0
103382,1
102775,0
101145,0
101435,0
100686,1
101228,1
101267,0
100533,0
102752,1
103840,0
102903,0
103158,0
104035,1
103665,1
104167,1
102693,0
101667,1
102074,0
100605,1
104157,1
102904,1
104015,0
100440,1
102412,0
103221,0
101152,0
101605,0
102053,1
103063,1
102941,1
100675,0
100170,0
101795,0
101252,1
103711,0
103572,0
102472,0
104040,1
102809,0
103589,1
103175,0
101961,0
100063,0
101284,1
101063,0
100331,0
103927,0
102394,0
103807,1
102641,0
100096,1
102089,0
104062,0
103043,0
102446,0
102975,0
102951,1
101172,1
100895,0
102073,1
101451,1
101104,1
100263,1
100122,0
102181,0
102759,0
103308,0
102688,1
100005,1
100320,0
100259,1
100993,0
100693,1
100603,1
102303,1
103796,0
103014,0
104144,1
103463,0
102550,1
103500,0
103501,0
102739,1
100740,0
100829,1
101188,1
100019,0
100631,0
100794,0
100538,0
101044,0
102457,0
103433,0
103130,1
102795,0
103108,1
100386,1
100520,0
101163,1
100555,0
101674,0
100223,0
101602,0
